vol_band,rank_in_band,game_id,title,year,n_active,users_rated_active,users_rated_pop_scrape,raw_active_mean,adj_mean_g,expected_quality_g,residual,residual_cv,SE,post_SD,residual_lb_95,residual_lb_95_post,adj_lb_95,categories,mechanics,weight,playing_time
5k-10k,4,18833,Lord of the Rings: The Confrontation,2005,6423,6778.000000,6778.000000,7.477870,7.848740,6.794085,1.054654,1.023234,0.014899,0.014897,1.025452,1.025456,7.819537,"[""Adventure"", ""Bluffing"", ""Deduction"", ""Fantasy"", ""Movies / TV / Radio theme"", ""Novel-based""]","[""Area Movement"", ""Card Play Conflict Resolution"", ""Hand Management"", ""Secret Unit Deployment"", ""Simultaneous Action Selection"", ""Variable Player Powers""]",2.193400,30.000000
5k-10k,5,363622,The Castles of Burgundy: Special Edition,2023,7544,12010.000000,12010.000000,9.135277,9.374094,8.376162,0.997932,1.004846,0.013748,0.013746,0.970986,0.970990,9.347148,"[""Dice"", ""Medieval"", ""Territory Building""]","[""Dice Rolling"", ""End Game Bonuses"", ""Grid Movement"", ""Set Collection"", ""Solo / Solitaire Game"", ""Team-Based Game"", ""Tile Placement""]",2.838200,120.000000
5k-10k,6,266507,Clank! Legacy: Acquisitions Incorporated,2019,9746,11489.000000,11489.000000,8.506831,8.834135,7.951284,0.882850,0.918713,0.012095,0.012094,0.859144,0.859146,8.810428,"[""Adventure"", ""Fantasy""]","[""Deck, Bag, and Pool Building"", ""Delayed Purchase"", ""End Game Bonuses"", ""Events"", ""Legacy Game"", ""Map Addition"", ""Movement Points"", ""Narrative Choice / Paragraph"", ""Once-Per-Game Abilities"", ""Open Drafting"", ""Pick-up and Deliver"", ""Player Elimination"", ""Point to Point Movement"", ""Push Your Luck"", ""Scenario / Mission / Campaign Game"", ""Set Collection"", ""Variable Player Powers"", ""Variable Set-up""]",2.741200,120.000000
5k-10k,7,327,Loopin' Louie,1992,9546,10014.000000,10014.000000,6.727050,7.056393,6.185352,0.871040,0.849490,0.012221,0.012220,0.847086,0.847089,7.032439,"[""Action / Dexterity"", ""Animals"", ""Aviation / Flight"", ""Children's Game"", ""Electronic"", ""Movies / TV / Radio theme"", ""Real-time""]","[""Player Elimination"", ""Real-Time""]",1.050900,10.000000
5k-10k,8,108687,Puerto Rico,2011,5631,6145.000000,6145.000000,8.297996,8.614279,7.751416,0.862864,0.877394,0.015912,0.015910,0.831675,0.831681,8.583091,"[""City Building"", ""Economic"", ""Farming""]","[""Action Drafting"", ""End Game Bonuses"", ""Follow"", ""Hidden Victory Points"", ""Increase Value of Unchosen Resources"", ""Turn Order: Progressive"", ""Variable Phase Order""]",3.223900,150.000000
5k-10k,9,3201,Lord of the Rings: The Confrontation,2002,6911,7238.000000,7238.000000,7.195612,7.555282,6.754033,0.801250,0.783394,0.014363,0.014361,0.773097,0.773101,7.527130,"[""Adventure"", ""Bluffing"", ""Card Game"", ""Deduction"", ""Fantasy"", ""Movies / TV / Radio theme"", ""Novel-based""]","[""Area Movement"", ""Card Play Conflict Resolution"", ""Hand Management"", ""Memory"", ""Secret Unit Deployment"", ""Simultaneous Action Selection"", ""Variable Player Powers""]",2.149400,30.000000
5k-10k,10,904,Nightmare Productions,2000,5808,6108.000000,6108.000000,7.062834,7.470631,6.674312,0.796319,0.814475,0.015668,0.015666,0.765609,0.765614,7.439921,"[""Movies / TV / Radio theme""]","[""Auction / Bidding"", ""Auction: Turn Order Until Pass"", ""Closed Economy Auction"", ""End Game Bonuses"", ""Victory Points as a Resource""]",2.096500,60.000000
10k-25k,1,150,PitchCar,1995,11177,11831.000000,11831.000000,7.262127,7.618185,6.677681,0.940504,0.941090,0.011295,0.011294,0.918367,0.918369,7.596048,"[""Action / Dexterity"", ""Children's Game"", ""Party Game"", ""Racing"", ""Sports""]","[""Flicking"", ""Modular Board"", ""Race""]",1.120300,30.000000
10k-25k,2,46213,Telestrations,2009,18881,20944.000000,20944.000000,7.363941,7.650322,6.768602,0.881721,0.869653,0.008690,0.008690,0.864688,0.864689,7.633290,"[""Humor"", ""Party Game"", ""Real-time""]","[""Drawing"", ""Paper-and-Pencil""]",1.069200,30.000000
10k-25k,3,215,Tichu,1991,15688,16985.000000,16985.000000,7.548268,7.959499,7.151467,0.808032,0.800813,0.009533,0.009533,0.789347,0.789348,7.940814,"[""Card Game""]","[""Hand Management"", ""Ladder Climbing"", ""Predictive Bid"", ""Team-Based Game""]",2.345000,90.000000
10k-25k,4,92828,Dixit: Odyssey,2011,21163,23119.000000,23119.000000,7.371464,7.590495,6.790884,0.799611,0.812551,0.008208,0.008208,0.783523,0.783524,7.574407,"[""Card Game"", ""Humor"", ""Party Game""]","[""Storytelling"", ""Targeted Clues"", ""Voting""]",1.160100,30.000000
10k-25k,5,5,Acquire,1963,20439,22332.000000,22332.000000,7.319857,7.658050,6.881502,0.776548,0.784232,0.008352,0.008352,0.760178,0.760178,7.641679,"[""Economic"", ""Territory Building""]","[""Connections"", ""End Game Bonuses"", ""Hand Management"", ""Hidden Victory Points"", ""Income"", ""Investment"", ""Market"", ""Pattern Building"", ""Square Grid"", ""Stock Holding"", ""Tile Placement"", ""Victory Points as a Resource""]",2.488000,90.000000
10k-25k,6,41,Can't Stop,1980,19430,22018.000000,22018.000000,6.915363,7.289562,6.514128,0.775434,0.743172,0.008566,0.008566,0.758644,0.758645,7.272772,"[""Dice"", ""Number""]","[""Dice Rolling"", ""Push Your Luck"", ""Race"", ""Roll / Spin and Move"", ""Track Movement""]",1.142200,30.000000
10k-25k,7,220,High Society,1995,14542,16848.000000,16848.000000,7.173246,7.574684,6.802116,0.772568,0.760830,0.009902,0.009901,0.753160,0.753161,7.555276,"[""Card Game""]","[""Auction / Bidding"", ""Auction: Turn Order Until Pass"", ""Constrained Bidding"", ""Hand Management""]",1.481700,30.000000
10k-25k,8,165722,KLASK,2014,10899,12459.000000,12459.000000,7.618803,7.953236,7.191061,0.762175,0.792784,0.011438,0.011437,0.739757,0.739759,7.930818,"[""Action / Dexterity"", ""Real-time""]","[""Real-Time"", ""Score-and-Reset Game""]",1.044700,10.000000
