game_id,n_obs,n_ref_raters,ref_penetration,title,resid_Q3bFam,hiddenness_bucket
35662,112,106,0.00037978130329478196,Caesar XL: The Roman Civil War 50 - 44 BC,0.7159192525260467,eligible_<1700
37400,2604,2593,0.009290310560786505,Sushizock im Gockelwok,0.2577621864257029,exclude_>2500
37441,220,219,0.0007846425039769551,Pala,0.669768929175758,eligible_<1700
37589,1074,1038,0.0037189904983017325,Clue: Discover the Secrets,-0.667236089212623,eligible_<1700
37680,137,135,0.00048368373532826003,The Heavens of Olympus,-0.6402186245547687,eligible_<1700
37686,147,146,0.0005230950026513034,Où étiez-vous?,0.05576962674417363,eligible_<1700
37875,112,102,0.0003654499333591298,Iwo Jima: Rage Against the Marines,0.48302809084524956,eligible_<1700
37904,19468,19391,0.06947489860555771,Formula D,0.008583649990237419,exclude_>2500
37919,2050,2048,0.007337661407053901,Ascending Empires,0.42793451429427165,borderline_1700-2500
37982,223,218,0.0007810596614930422,God Dice,0.26061819891813176,eligible_<1700
38026,1526,1488,0.0053312696160626,Clue: Harry Potter Edition,0.006730550702575222,eligible_<1700
39351,5804,5800,0.020780486406695615,Automobile,0.03885596814054093,exclude_>2500
39415,135,132,0.0004729352078765209,Trivial Pursuit: Digital Choice,-0.8910876818344322,eligible_<1700
39463,32624,32624,0.11688665319517892,Cosmic Encounter,0.008170810898952219,exclude_>2500
39798,306,301,0.0010784355876578243,Deadlands: The Battle for Slaughter Gulch,-0.8457199225520764,eligible_<1700
39802,183,182,0.0006520773320721727,Mountain of Inferno,-0.34494401638854466,eligible_<1700
41033,170,139,0.0004980151052639122,"Case Yellow, 1940: The German Blitzkrieg in the West",-0.11365861823670631,eligible_<1700
43365,286,286,0.0010246929503991285,Kansas Pacific,0.5745844005041052,eligible_<1700
43856,128,125,0.0004478553104891297,Chronology,0.4191756509168405,eligible_<1700
44558,277,274,0.0009816988405921723,Beer & Pretzels,0.4580193393836156,eligible_<1700
45315,13873,13850,0.04962236840219557,Dungeon Lords,-0.04541879648357927,exclude_>2500
55679,332,323,0.0011572581223039111,Panzer General: Allied Assault,-0.6782782225335993,eligible_<1700
55690,7969,7922,0.02838327815755908,Kingdom Death: Monster,0.2707259866571956,exclude_>2500
55705,724,715,0.0025617323759978216,Callisto: The Game,0.023893348714477014,eligible_<1700
55763,378,374,0.0013399830889834759,Mister X,0.16765240913881652,eligible_<1700
55781,151,143,0.0005123464751995643,Warriors of Japan: A Country Aflame 1335-1339,0.18339477419306593,eligible_<1700
55833,653,649,0.0023252647720595613,Tarantel Tango,-0.08534980528682823,eligible_<1700
55835,451,448,0.0016051134327930406,Ligretto Dice,0.0022439870180956945,eligible_<1700
55863,469,464,0.0016624389125356493,The Three Musketeers: The Queen's Pendants,0.32536312647228627,eligible_<1700
56241,118,109,0.0003905298307465211,Coral Sea: Campaign Commander Series,0.3345973822636079,eligible_<1700
56244,102,99,0.00035470140590739067,Honfoglaló,-0.9262983840400132,eligible_<1700
56294,306,300,0.0010748527451739111,Jungle Speed: Rabbids,0.37092658142876456,eligible_<1700
56320,224,216,0.000773893976525216,Spearpoint 1943,0.13609664005886124,eligible_<1700
56342,381,374,0.0013399830889834759,Chez Cthulhu,-0.3752112456400303,eligible_<1700
56410,139,139,0.0004980151052639122,Activity kompakt,0.5523717903762391,eligible_<1700
56707,1235,1233,0.004417644782664775,Colonia,-0.2842377234893947,eligible_<1700
56758,669,668,0.002393338779253909,BasketBoss,0.25789541679345085,eligible_<1700
