game_id,title,flag,n_raters,n_raters_ge20_total,n_raters_ge20_other,penetration_ge20_total,penetration_ge20_other,penetration_ge10_total,penetration_ge10_other,total_enth_ge20,total_enth_ge10,missing_ge20_other,penetration_rank_ge20_other
2997,Soldier Kings: The Seven Years War Worldwide,Wargame,272,253,250,0.0145922251701465,0.014419194832160573,0.006500171057133082,0.006500171057133082,17338,40922,17088,0.6497524752475248
3040,Star Trek: Starship Tactical Combat Simulator,Wargame,413,277,272,0.015976467874033912,0.0156880839773907,0.008357362787742535,0.008161868921362593,17338,40922,17066,0.6777227722772278
3044,Air Assault on Crete / Invasion of Malta: 1942,Wargame,522,470,464,0.027108086284461874,0.02676202560849002,0.01260935438150628,0.012462733981721324,17338,40922,16874,0.8111386138613862
3053,Bonaparte in Italy,Wargame,115,110,110,0.0063444457261506515,0.0063444457261506515,0.002810224329211671,0.002810224329211671,17338,40922,17228,0.23341584158415843
3965,Snapshot,Wargame,156,139,138,0.008017072326681278,0.007959395547352636,0.003714383461218904,0.003714383461218904,17338,40922,17200,0.36757425742574257
3466,WarpWar,Wargame,281,229,227,0.013207982466259083,0.0130926289076018,0.006524607790430575,0.006353550657348126,17338,40922,17111,0.6131188118811881
3518,Napoleon in Europe,Wargame,647,449,441,0.02589687391856039,0.02543545968393125,0.013684570646595963,0.013415766580323542,17338,40922,16897,0.8002475247524753
3548,Assault on Hoth: The Empire Strikes Back,Wargame,518,354,345,0.02041757988233937,0.01989848886838159,0.010703289184301842,0.010385611651434437,17338,40922,16993,0.7487623762376238
3572,Invasion: America – Death Throes of the Superpower,Wargame,219,207,205,0.011939093321028953,0.011823739762371669,0.005351644592150921,0.005327207858853428,17338,40922,17133,0.5735148514851485
3575,The Plot to Assassinate Hitler,Wargame,223,205,203,0.011823739762371669,0.011708386203714385,0.005302771125555936,0.005302771125555936,17338,40922,17135,0.571039603960396
3593,Star Wars: Star Warriors,Wargame,517,344,335,0.01984081208905295,0.019321721075095166,0.010874346317384292,0.010581105517814379,17338,40922,17003,0.7400990099009901
3594,Star Wars: Battle for Endor,Wargame,166,120,116,0.006921213519437075,0.006690506402122505,0.003396705928351498,0.0033722691950540053,17338,40922,17222,0.27252475247524754
3661,Imperium: Empires in Conflict – Worlds in the Balance,Wargame,551,470,462,0.027108086284461874,0.02664667204983274,0.012682664581398759,0.012584917648208788,17338,40922,16876,0.8101485148514852
3670,Battlewagon,Wargame,120,106,105,0.006113738608836083,0.00605606182950744,0.0028590977958066564,0.0028590977958066564,17338,40922,17233,0.1952970297029703
3712,Tac Air,Wargame,347,284,283,0.01638020532933441,0.016322528550005766,0.008015248521577636,0.007893064855090172,17338,40922,17055,0.6896039603960396
3870,7 Ages,Wargame,1010,753,742,0.04343061483446764,0.042796170261852576,0.022384047700503396,0.021822002834661063,17338,40922,16596,0.8866336633663366
6503,Harpoon: Captain's Edition,Wargame,124,113,111,0.006517476064136578,0.006402122505479294,0.0029812814622941206,0.0029568447289966275,17338,40922,17227,0.24183168316831682
6581,Korea: The Forgotten War,Wargame,330,294,291,0.016956973122620834,0.016783942784634905,0.008039685254875127,0.00796637505498265,17338,40922,17047,0.6982673267326732
6641,Desert Steel,Wargame,122,113,111,0.006517476064136578,0.006402122505479294,0.0029812814622941206,0.0029568447289966275,17338,40922,17227,0.24183168316831682
6646,Excalibur,Wargame,327,211,206,0.012169800438343523,0.011881416541700312,0.006500171057133082,0.006329113924050633,17338,40922,17132,0.5752475247524752
6767,Attack Vector: Tactical,Wargame,151,99,99,0.005710001153535586,0.005710001153535586,0.003079028395484092,0.0030057181955916133,17338,40922,17239,0.15544554455445544
6916,1941: Operation Barbarossa,Wargame,135,121,121,0.006978890298765717,0.006978890298765717,0.003274522261864034,0.0032256487952690483,17338,40922,17217,0.2943069306930693
6923,BattleTech: CityTech,Wargame,410,235,231,0.013554043142230937,0.01332333602491637,0.008210742387957578,0.007819754655197693,17338,40922,17107,0.6202970297029703
6929,Ranger,Wargame,151,126,126,0.007267274195408928,0.007267274195408928,0.003494452861541469,0.0034211426616489907,17338,40922,17212,0.31633663366336634
6938,"Global War: The War Against Germany and Japan, 1939-45",Wargame,122,110,110,0.0063444457261506515,0.0063444457261506515,0.002907971262401642,0.002907971262401642,17338,40922,17228,0.23341584158415843
7033,Kadesh:  Mobile Warfare in the Ancient Middle East,Wargame,105,101,101,0.005825354712192871,0.005825354712192871,0.002565856996236743,0.002565856996236743,17338,40922,17237,0.16683168316831684
