game_id,title,year,n_obs,users_rated,weight,weight_missing,adj_mean,expected_Q3bFam,residual_Q3bFam,expected_Q3b,residual_Q3b,expected_Q4Fam,residual_Q4Fam,SE,lower_bound_adj,lower_bound_resid,vol_band,fam_18XX,fam_Cooperative Game,fam_Legacy Game,rank_residual
68199,Catchup,2010.0,135,154.0,2.1,0.0,8.018880163988579,6.528659065363479,1.4902210986250992,6.5315870909466405,1.487293073041938,6.624218325742067,1.3946618382465115,0.10271493877055267,7.817558883998295,1.288899818634816,100-199,0.0,0.0,0.0,34
383010,Clank! Legacy 2: Acquisitions Incorporated – Darkest Magic,2024.0,234,1126.0,2.75,0.0,9.383173286917032,7.893718426326979,1.4894548605900528,7.802512074781744,1.580661212135288,8.066251032561336,1.3169222543556955,0.0780175965603953,9.230258797658657,1.3365403713316781,200-499,0.0,0.0,1.0,35
12071,Second Season Pro Football Game,1999.0,132,183.0,2.7857,0.0,8.079682206743014,6.591765667595162,1.487916539147852,6.623345792934762,1.456336413808252,6.723187363347767,1.3564948433952466,0.1038755963880404,7.876086037822454,1.2843203702272927,100-199,0.0,0.0,0.0,36
172844,Charms,2014.0,254,347.0,2.0909,0.0,8.135458120859894,6.652768550669139,1.4826895701907556,6.650281618849494,1.4851765020104004,6.635166274671697,1.5002918461881976,0.07488306940719801,7.988687304821786,1.3359187541526476,200-499,0.0,0.0,0.0,37
5217,Eleusis,1956.0,216,239.0,2.875,0.0,7.787940551780393,6.3066186455251,1.4813219062552925,6.33351993457447,1.4544206172059226,6.2693790118972075,1.5185615398831853,0.0812032890599204,7.628782105222949,1.3221634596978484,200-499,0.0,0.0,0.0,38
401168,nana: Christmas Edition,2022.0,100,205.0,1.0,0.0,8.160131243453613,6.6853435039208975,1.4747877395327151,6.682690265494031,1.4774409779595814,6.678437494752272,1.4816937487013409,0.1193439741795195,7.9262170540617545,1.240873550140857,100-199,0.0,0.0,0.0,39
265754,Exceed: Street Fighter – M. Bison Box,2019.0,134,145.0,2.3333,0.0,8.573574810096195,7.1011840183396355,1.4723907917565597,7.11586509301107,1.457709717085125,7.099894829977366,1.4736799801188294,0.103097491077084,8.371503727585111,1.270319709245475,100-199,0.0,0.0,0.0,40
301480,Binho Classic,2019.0,112,237.0,1.0,0.0,8.022526904294581,6.5570195487591505,1.465507355535431,6.563977376560757,1.4585495277338243,6.562736179637055,1.4597907246575268,0.11276945576897227,7.801498770987396,1.2444792222282453,100-199,0.0,0.0,0.0,41
237009,Urbino,2017.0,207,256.0,2.1111,0.0,8.44228573901027,6.991255027950061,1.4510307110602092,6.976943851542341,1.465341887467929,7.012767151523599,1.4295185874866707,0.08294979615761722,8.27970413854134,1.2884491105912794,200-499,0.0,0.0,0.0,42
2251,Strat-O-Matic Baseball,1962.0,1071,1279.0,2.3909,0.0,7.9171055146130795,6.4764231790172975,1.440682335595782,6.484316876785572,1.4327886378275076,6.58832958080783,1.3287759338052494,0.036467480586579726,7.845629252663383,1.3692060736460858,1k-2.5k,0.0,0.0,0.0,43
7290,Dynasty League Baseball Powered by Pursue the Pennant,1985.0,222,273.0,2.5357,0.0,7.837850753987609,6.413378854042438,1.4244718999451704,6.431260389981228,1.406590364006381,6.528012198824904,1.3098385551627052,0.08009843092389068,7.680857829376783,1.2674789753343447,200-499,0.0,0.0,0.0,44
165332,Puerto Rico,2007.0,117,186.0,3.0769,0.0,8.190242020504654,6.770841534250113,1.4194004862545402,6.811222523598216,1.3790194969064373,6.83279461715267,1.3574474033519834,0.11033354315946356,7.973988275912105,1.2031467416619916,100-199,0.0,0.0,0.0,45
1278,Dutch InterCity,1999.0,209,275.0,2.4545,0.0,7.911830022362588,6.514243458959752,1.397586563402836,6.533543980014519,1.3782860423480692,6.578355691512426,1.3334743308501622,0.08255195311523299,7.750028194256732,1.2357847352969793,200-499,0.0,0.0,0.0,46
